com.samsung.shealth.tracker.pedometer_day_summary,6311013,7
create_sh_ver,step_count,binning_data,active_time,recommendation,modify_sh_ver,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
,12694,bdb1ce7d-0e20-4098-9957-397745a35310.binning_data.json,6579345,10000,,84,2020-07-29 22:00:07.232,com.sec.android.app.shealth,2020-07-29 22:00:07.232,,1.5053239,9904.045,531.94806,12610,BPYUPn3BBR,com.sec.android.app.shealth,0,bdb1ce7d-0e20-4098-9957-397745a35310.achievement.json,bdb1ce7d-0e20-4098-9957-397745a35310,1595980800000,
,2936,e5079a62-9ed8-4f0b-841b-42ed4a7fb7e6.binning_data.json,1462332,10000,,11,2020-07-29 22:00:07.058,com.sec.android.app.shealth,2020-07-28 22:00:05.322,,1.524708,2229.63,128.19,2925,BPYUPn3BBR,com.sec.android.app.shealth,0,e5079a62-9ed8-4f0b-841b-42ed4a7fb7e6.achievement.json,e5079a62-9ed8-4f0b-841b-42ed4a7fb7e6,1595894400000,
,11359,12d3dc6a-4367-4e05-95dc-f2e08e0675ba.binning_data.json,5760804,10000,,55,2020-07-30 22:00:05.600,com.sec.android.app.shealth,2020-07-30 22:00:05.600,,1.4716711,8478.011,491.65005,11304,BPYUPn3BBR,com.sec.android.app.shealth,0,12d3dc6a-4367-4e05-95dc-f2e08e0675ba.achievement.json,12d3dc6a-4367-4e05-95dc-f2e08e0675ba,1596067200000,
,8503,75986ca9-c626-4811-b18d-fce571e144a7.binning_data.json,3964179,10000,,830,2020-07-30 22:00:02.165,com.sec.android.app.shealth,2020-07-30 22:00:02.165,,1.837633,7284.707,394.80914,7673,m3h9nVfJDO,com.sec.android.app.shealth,0,75986ca9-c626-4811-b18d-fce571e144a7.achievement.json,75986ca9-c626-4811-b18d-fce571e144a7,1596067200000,
,8155,8254e638-7fb6-4a2c-a0f9-b4497b892e41.binning_data.json,3636994,10000,,977,2020-07-31 22:00:02.700,com.sec.android.app.shealth,2020-07-31 22:00:02.700,,1.9750326,7183.1816,392.15674,7178,m3h9nVfJDO,com.sec.android.app.shealth,0,8254e638-7fb6-4a2c-a0f9-b4497b892e41.achievement.json,8254e638-7fb6-4a2c-a0f9-b4497b892e41,1596153600000,
,9081,67d512bb-4ebf-4777-adc9-2ff5b7e3df66.binning_data.json,4600565,10000,,74,2020-07-31 22:00:05.666,com.sec.android.app.shealth,2020-07-31 22:00:05.666,,1.4872931,6842.389,393.07407,9007,BPYUPn3BBR,com.sec.android.app.shealth,0,67d512bb-4ebf-4777-adc9-2ff5b7e3df66.achievement.json,67d512bb-4ebf-4777-adc9-2ff5b7e3df66,1596153600000,
,5124,002809e8-48ce-4dac-a8d9-452030d47b9d.binning_data.json,2253437,10000,,760,2020-08-01 22:00:04.560,com.sec.android.app.shealth,2020-08-01 22:00:04.560,,2.041935,4601.373,261.20215,4364,m3h9nVfJDO,com.sec.android.app.shealth,0,002809e8-48ce-4dac-a8d9-452030d47b9d.achievement.json,002809e8-48ce-4dac-a8d9-452030d47b9d,1596240000000,
,9467,808962b7-59e2-4dee-a89c-c419efa60c38.binning_data.json,5089158,10000,,58,2020-08-01 22:00:07.468,com.sec.android.app.shealth,2020-08-01 22:00:07.468,,1.419397,7223.536,401.89334,9409,BPYUPn3BBR,com.sec.android.app.shealth,0,808962b7-59e2-4dee-a89c-c419efa60c38.achievement.json,808962b7-59e2-4dee-a89c-c419efa60c38,1596240000000,
,13531,23a81b2a-d754-44e4-9e4b-56c3da2c913a.binning_data.json,6262155,10000,,1145,2020-08-02 22:00:04.226,com.sec.android.app.shealth,2020-08-02 22:00:04.226,,1.8418227,11533.781,623.1304,12386,m3h9nVfJDO,com.sec.android.app.shealth,0,23a81b2a-d754-44e4-9e4b-56c3da2c913a.achievement.json,23a81b2a-d754-44e4-9e4b-56c3da2c913a,1596326400000,
,14336,dafb6163-80c0-4bd0-9540-309b02efb09b.binning_data.json,7353356,10000,,102,2020-08-02 22:00:07.703,com.sec.android.app.shealth,2020-08-02 22:00:07.703,,1.4429861,10610.791,601.8885,14234,BPYUPn3BBR,com.sec.android.app.shealth,0,dafb6163-80c0-4bd0-9540-309b02efb09b.achievement.json,dafb6163-80c0-4bd0-9540-309b02efb09b,1596326400000,
