com.samsung.shealth.tracker.floors_day_summary,6311013,1
create_sh_ver,binning_data,modify_sh_ver,update_time,create_time,floor_count,version_code,deviceuuid,pkg_name,datauuid,day_time
62810050,,62810050,2024-10-24 23:50:40.482,2024-10-24 23:50:40.482,9,1,CdeuO5Zn7i,com.sec.android.app.shealth,a298b084-131e-48ef-b195-f0345c5fd4b6,1620777600000,
62810050,,62810050,2024-10-24 23:50:40.764,2024-10-24 23:50:40.764,3,1,CdeuO5Zn7i,com.sec.android.app.shealth,b64da81c-fb51-4a56-a232-b633ec7334ba,1724716800000,
62810050,,62810050,2024-10-24 23:50:41.799,2024-10-24 23:50:41.799,157,1,CdeuO5Zn7i,com.sec.android.app.shealth,4c05ce16-26d4-4bbc-8c26-7960acfd1d7a,1631577600000,
62810050,,62810050,2024-10-24 23:50:41.340,2024-10-24 23:50:41.340,25,1,CdeuO5Zn7i,com.sec.android.app.shealth,24ca515e-9964-4ea9-807e-255e54e29e49,1670025600000,
62810050,,62810050,2024-10-24 23:50:41.176,2024-10-24 23:50:41.176,1,1,CdeuO5Zn7i,com.sec.android.app.shealth,5666baa2-29bd-4177-b4ba-6d20de4d82fe,1618963200000,
62810050,,62810050,2024-10-24 23:50:41.564,2024-10-24 23:50:41.564,5,1,CdeuO5Zn7i,com.sec.android.app.shealth,41124219-a0e1-4ee5-bb21-d6485f050412,1726531200000,
62810050,,62810050,2024-10-24 23:50:41.498,2024-10-24 23:50:41.498,6,1,CdeuO5Zn7i,com.sec.android.app.shealth,8c02fcd4-299a-4ff3-946f-6da03fd071cb,1713312000000,
62810050,,62810050,2024-10-24 23:50:41.415,2024-10-24 23:50:41.415,2,1,CdeuO5Zn7i,com.sec.android.app.shealth,50304cca-6344-49a8-aae6-18ec6363d3ee,1670630400000,
62810050,,62810050,2024-10-24 23:50:41.744,2024-10-24 23:50:41.744,11,1,CdeuO5Zn7i,com.sec.android.app.shealth,611c1ffe-102d-49cc-9bc0-65fec577c7a7,1646006400000,
62810050,,62810050,2024-10-24 23:50:41.437,2024-10-24 23:50:41.437,6,1,CdeuO5Zn7i,com.sec.android.app.shealth,4ba734ab-e461-44a5-8e5f-e4a0a4240350,1603929600000,
62810050,,62810050,2024-10-24 23:50:41.209,2024-10-24 23:50:41.209,17,1,CdeuO5Zn7i,com.sec.android.app.shealth,04a8c857-0d2c-4614-a415-c7da5dc910cf,1727136000000,
62810050,,62810050,2024-10-24 23:50:42.458,2024-10-24 23:50:42.458,6,1,CdeuO5Zn7i,com.sec.android.app.shealth,5930b16c-d64d-485a-98e3-c59c5f7ef96b,1616544000000,
62810050,,62810050,2024-10-24 23:50:41.838,2024-10-24 23:50:41.838,16,1,CdeuO5Zn7i,com.sec.android.app.shealth,429b63e2-b03d-4f63-bd20-9090aaf0829e,1657411200000,
62810050,,62810050,2024-10-24 23:50:42.298,2024-10-24 23:50:42.298,28,1,CdeuO5Zn7i,com.sec.android.app.shealth,bfc8bd77-288b-437e-af45-f068a20aec07,1658016000000,
62810050,,62810050,2024-10-24 23:50:42.350,2024-10-24 23:50:42.350,95,1,CdeuO5Zn7i,com.sec.android.app.shealth,fc280fc7-4f64-4bff-9204-b4a6147e685b,1630368000000,
62810050,,62810050,2024-10-24 23:50:41.963,2024-10-24 23:50:41.963,13,1,CdeuO5Zn7i,com.sec.android.app.shealth,9b776d3b-3188-4c2c-bf7e-2c3c14fd8d1d,1645401600000,
62810050,,62810050,2024-10-24 23:50:41.605,2024-10-24 23:50:41.605,5,1,CdeuO5Zn7i,com.sec.android.app.shealth,f7dd0797-3067-46dc-9afe-ac751fc96ebd,1617753600000,
62810050,,62810050,2024-10-24 23:50:42.034,2024-10-24 23:50:42.034,103,1,CdeuO5Zn7i,com.sec.android.app.shealth,7165d17e-afdb-4016-a55e-deac4d3723a3,1603324800000,
62810050,,62810050,2024-10-24 23:50:42.634,2024-10-24 23:50:42.634,6,1,CdeuO5Zn7i,com.sec.android.app.shealth,d8c453c9-7061-4035-ae0e-6aef9590665f,1718064000000,
62810050,,62810050,2024-10-24 23:50:42.077,2024-10-24 23:50:42.077,20,1,CdeuO5Zn7i,com.sec.android.app.shealth,800a6f57-95a7-4e65-a913-9a0cabf78113,1715126400000,
62810050,,62810050,2024-10-24 23:50:42.580,2024-10-24 23:50:42.580,4,1,CdeuO5Zn7i,com.sec.android.app.shealth,15cb33be-561e-4bbf-b28e-3b822050dfa3,1717459200000,
62810050,,62810050,2024-10-24 23:50:42.315,2024-10-24 23:50:42.315,5,1,CdeuO5Zn7i,com.sec.android.app.shealth,475552aa-c3b2-48ff-b736-bd60f57c7d2b,1644796800000,
62810050,,62810050,2024-10-24 23:50:42.610,2024-10-24 23:50:42.610,6,1,CdeuO5Zn7i,com.sec.android.app.shealth,0fd0bec8-a9b3-4321-83cf-8e2f11700f4b,1645920000000,
62810050,,62810050,2024-10-24 23:50:42.415,2024-10-24 23:50:42.415,231,1,CdeuO5Zn7i,com.sec.android.app.shealth,e0919ca6-5778-4251-8982-ccbf5f3abcc9,1602720000000,
62810050,,62810050,2024-10-24 23:50:41.867,2024-10-24 23:50:41.867,4,1,CdeuO5Zn7i,com.sec.android.app.shealth,fb300f1d-1db0-4177-867b-5a8725beb038,1713916800000,
62810050,,62810050,2024-10-24 23:50:42.764,2024-10-24 23:50:42.764,18,1,CdeuO5Zn7i,com.sec.android.app.shealth,6fabde7a-c5a8-4548-98f8-e13a99a18347,1704240000000,
62810050,,62810050,2024-10-24 23:50:42.263,2024-10-24 23:50:42.263,103,1,CdeuO5Zn7i,com.sec.android.app.shealth,3de60977-5ad3-4c28-86af-e4308a466875,1630972800000,
62810050,,62810050,2024-10-24 23:50:42.512,2024-10-24 23:50:42.512,25,1,CdeuO5Zn7i,com.sec.android.app.shealth,38395a35-63d7-4111-a220-6fc0e1e3472b,1603238400000,
62810050,,62810050,2024-10-24 23:50:42.819,2024-10-24 23:50:42.819,11,1,CdeuO5Zn7i,com.sec.android.app.shealth,a227253b-6447-456f-9aa6-44b1d70dee65,1616457600000,
62810050,,62810050,2024-10-24 23:50:42.208,2024-10-24 23:50:42.208,13,1,CdeuO5Zn7i,com.sec.android.app.shealth,3a5f8629-814a-4cb8-a74a-fb4224763da8,1602115200000,
62810050,,62810050,2024-10-24 23:50:42.938,2024-10-24 23:50:42.938,9,1,CdeuO5Zn7i,com.sec.android.app.shealth,4b66096b-d6f3-4e34-8f86-b22024c01c68,1703635200000,
62810050,,62810050,2024-10-24 23:50:42.653,2024-10-24 23:50:42.653,10,1,CdeuO5Zn7i,com.sec.android.app.shealth,960747a0-85bd-43be-a7d2-c9fc6394d921,1703030400000,
62810050,,62810050,2024-10-24 23:50:42.548,2024-10-24 23:50:42.548,1,1,CdeuO5Zn7i,com.sec.android.app.shealth,65bb593d-6348-4b78-808c-9463d0f70244,1617667200000,
62810050,,62810050,2024-10-24 23:50:43.094,2024-10-24 23:50:43.094,22,1,CdeuO5Zn7i,com.sec.android.app.shealth,44d52be4-1a7e-48c7-9898-91a25009f508,1644105600000,
62810050,,62810050,2024-10-24 23:50:42.690,2024-10-24 23:50:42.690,118,1,CdeuO5Zn7i,com.sec.android.app.shealth,be8d5103-a4ac-442f-9a2f-815bc0e2a0c0,1631491200000,
62810050,,62810050,2024-10-24 23:50:42.785,2024-10-24 23:50:42.785,1,1,CdeuO5Zn7i,com.sec.android.app.shealth,070b7762-6078-4ea4-8b48-7010dbe33d5b,1617062400000,
