com.samsung.shealth.rewards,6311013,5
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2020-08-12 20:15:06.371,,,,2020-08-13 14:14:23.440,2020-08-12 20:15:06.388,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":65,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-12 20:15:06.371,a440784f-3dfb-4d5d-baf8-b8a151479b0d,0,
,2020-08-11 16:05:12.793,,,,2020-08-12 20:15:06.385,2020-08-11 16:05:12.832,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":117,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-11 16:05:12.793,0c9e13ba-40da-4fb4-abcd-3bd9f2623830,0,
,2020-08-13 14:14:23.384,,,,2020-08-14 18:09:50.787,2020-08-13 14:14:23.468,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":true,""mValue"":108,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-13 14:14:23.384,ee722a4c-fc93-41f8-9186-b84ec81608bf,0,
,2020-08-14 18:09:50.709,,,,2020-08-15 13:55:03.443,2020-08-14 18:09:50.791,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":82,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-14 18:09:50.709,ad79e228-44eb-4e24-9c91-435a070f9978,0,
,2020-08-15 13:55:03.409,,,,2020-08-16 13:48:40.286,2020-08-15 13:55:03.445,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":97,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-15 13:55:03.409,0b9923c5-3f0a-43ac-be5a-c37111b43e98,0,
,2020-08-16 13:48:40.239,,,,2020-08-17 11:48:21.573,2020-08-16 13:48:40.294,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":true,""mValue"":75,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-16 13:48:40.239,8ff1fb06-c90d-412a-a073-a1e1d69cd315,0,
,2020-08-17 11:48:21.458,,,,2020-08-18 19:55:17.528,2020-08-17 11:48:21.582,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":156,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-17 11:48:21.458,e2b4b05e-ac51-4e84-a029-97b264f19dfc,0,
,2020-08-18 19:55:17.473,,,,2020-08-19 15:46:45.249,2020-08-18 19:55:17.553,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":61,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-18 19:55:17.473,3d2b28fc-eff9-4c0e-b5ba-65dff08a24f6,0,
,2020-08-19 15:46:45.230,,,,2020-08-20 14:30:09.749,2020-08-19 15:46:45.282,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":140,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-19 15:46:45.230,31076dce-7806-4d0e-b3c2-776496d67cd0,0,
,2020-08-20 14:30:09.656,,,,2020-08-22 16:25:21.651,2020-08-20 14:30:09.754,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":137,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-20 14:30:09.656,224cd6b7-c503-460f-8033-39a172f2ce03,0,
