com.samsung.shealth.report,6311013,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
Europe/Warsaw,1613343600000,2021-02-27 14:13:02.757,2021-02-27 14:13:01.292,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,8283be53-03af-41d0-8dbd-941aebe3ddcb,8283be53-03af-41d0-8dbd-941aebe3ddcb.compressed_content.json,
Europe/Warsaw,1613948400000,2021-03-07 14:13:33.669,2021-03-07 14:13:33.107,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,cb1fea16-539b-499a-a784-2cbaeda18de8,cb1fea16-539b-499a-a784-2cbaeda18de8.compressed_content.json,
Europe/Warsaw,1614553200000,2021-03-08 15:56:47.245,2021-03-08 15:56:44.989,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,435743de-2dad-4db4-8443-9ab92d212b63,435743de-2dad-4db4-8443-9ab92d212b63.compressed_content.json,
Europe/Warsaw,1615762800000,2021-03-23 14:08:23.684,2021-03-23 14:08:22.277,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,9faa675f-aee9-4881-939f-77b05cb9c60a,9faa675f-aee9-4881-939f-77b05cb9c60a.compressed_content.json,
Europe/Warsaw,1616367600000,2021-03-29 13:45:12.055,2021-03-29 13:45:03.736,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,975134a7-e596-4ee9-bfda-2d4fac13df31,975134a7-e596-4ee9-bfda-2d4fac13df31.compressed_content.json,
Europe/Warsaw,1618783200000,2021-04-26 15:20:28.747,2021-04-26 15:20:25.061,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,9d08774f-f59f-445d-b91d-6905e2522313,9d08774f-f59f-445d-b91d-6905e2522313.compressed_content.json,
Europe/Warsaw,1620597600000,2021-05-19 16:29:46.370,2021-05-19 16:29:34.715,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,94e3e8f8-fc2b-45c0-bf96-7805eac1f6ee,94e3e8f8-fc2b-45c0-bf96-7805eac1f6ee.compressed_content.json,
Europe/Warsaw,1621202400000,2021-05-29 15:49:05.353,2021-05-29 15:49:04.193,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,30aed6cd-119c-45b4-8c71-e067e26a52c5,30aed6cd-119c-45b4-8c71-e067e26a52c5.compressed_content.json,
Europe/Warsaw,1621807200000,2021-05-31 13:02:12.786,2021-05-31 13:02:11.141,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,23992ddf-42bc-4cee-aaed-43f6b3b9ad5f,23992ddf-42bc-4cee-aaed-43f6b3b9ad5f.compressed_content.json,
Europe/Warsaw,1622412000000,2021-06-08 12:50:46.007,2021-06-08 12:50:44.071,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,8a697c90-d528-4d51-992a-e6377d26eda8,8a697c90-d528-4d51-992a-e6377d26eda8.compressed_content.json,
Europe/Warsaw,1623016800000,2021-06-17 12:49:03.778,2021-06-17 12:49:02.980,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,babf9ead-0891-4446-b421-bb589ef2a277,babf9ead-0891-4446-b421-bb589ef2a277.compressed_content.json,
Europe/Warsaw,1624831200000,2021-07-05 14:29:49.674,2021-07-05 14:29:48.857,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,f716bf40-dae1-4ec8-81fc-ad22c1013f54,f716bf40-dae1-4ec8-81fc-ad22c1013f54.compressed_content.json,
Europe/Warsaw,1625436000000,2021-07-18 14:38:20.467,2021-07-18 14:38:19.679,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,9635a4ee-87e1-4bd4-840c-0117acfd9c6c,9635a4ee-87e1-4bd4-840c-0117acfd9c6c.compressed_content.json,
Europe/Warsaw,1626040800000,2021-07-19 12:34:27.511,2021-07-19 12:34:26.372,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,5af05449-cf50-4296-ac95-d9c3bd70e3c9,5af05449-cf50-4296-ac95-d9c3bd70e3c9.compressed_content.json,
Europe/Warsaw,1626645600000,2021-07-28 12:39:50.274,2021-07-28 12:39:49.564,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,57b7f826-ca73-4301-ac2b-967f29a6b991,57b7f826-ca73-4301-ac2b-967f29a6b991.compressed_content.json,
Europe/Warsaw,1627250400000,2021-08-02 13:57:55.769,2021-08-02 13:57:48.821,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,c1a417b3-3d83-4260-9966-7565a0dcdc9f,c1a417b3-3d83-4260-9966-7565a0dcdc9f.compressed_content.json,
Europe/Warsaw,1627855200000,2021-08-09 14:18:36.309,2021-08-09 14:18:32.980,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,c7a748bb-5cfe-4304-aa35-a3af9a603f50,c7a748bb-5cfe-4304-aa35-a3af9a603f50.compressed_content.json,
Europe/Warsaw,1628460000000,2021-08-17 10:50:20.361,2021-08-17 10:50:05.367,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,9f53cbd3-d954-44cf-a40f-e28b410bb981,9f53cbd3-d954-44cf-a40f-e28b410bb981.compressed_content.json,
Europe/Warsaw,1629064800000,2021-08-23 14:02:38.859,2021-08-23 14:02:33.080,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,984e8469-a4a1-4b25-af19-4d54734ca5d3,984e8469-a4a1-4b25-af19-4d54734ca5d3.compressed_content.json,
Europe/Warsaw,1629669600000,2021-08-30 13:01:16.614,2021-08-30 13:01:14.647,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,5ad0c59c-f9ef-4f13-85f7-0031c54a1806,5ad0c59c-f9ef-4f13-85f7-0031c54a1806.compressed_content.json,
Europe/Warsaw,1630274400000,2021-09-08 16:07:23.156,2021-09-08 16:07:16.869,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,61bcf116-8c37-428c-ad6e-93f3002e749f,61bcf116-8c37-428c-ad6e-93f3002e749f.compressed_content.json,
Europe/Warsaw,1630879200000,2021-09-13 13:31:08.076,2021-09-13 13:31:04.853,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,094f05a7-0b1b-4241-9057-c8bc6bf43c77,094f05a7-0b1b-4241-9057-c8bc6bf43c77.compressed_content.json,
Europe/Warsaw,1631484000000,2021-09-25 16:40:31.420,2021-09-25 16:40:29.099,0,0,2,t2lQEfg4vc,X,com.sec.android.app.shealth,b69caf32-3816-4e0e-9bde-e279a107490b,b69caf32-3816-4e0e-9bde-e279a107490b.compressed_content.json,
