com.samsung.shealth.calories_burned.details,6311013,4
active_calories_goal,version,extra_data,exercise_calories,total_exercise_calories,com.samsung.shealth.calories_burned.create_sh_ver,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.modify_sh_ver,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,,360960a5-709c-4e54-bc9e-f0c960c99194.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:15.314,2020-05-11 22:05:00.332,0.0,m3h9nVfJDO,com.sec.android.app.shealth,360960a5-709c-4e54-bc9e-f0c960c99194,1589155200000,
,,22fe7a6b-36a5-4498-8a36-912701669605.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.471,2020-05-02 10:14:41.634,0.0,m3h9nVfJDO,com.sec.android.app.shealth,22fe7a6b-36a5-4498-8a36-912701669605,1587254400000,
,,381c8c5f-4478-4cbc-a66a-ece415094a67.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:14.305,2020-05-11 22:04:59.643,0.0,m3h9nVfJDO,com.sec.android.app.shealth,381c8c5f-4478-4cbc-a66a-ece415094a67,1588723200000,
,,44a0f533-5672-4122-89ce-49e615e64c06.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.365,2020-05-02 10:14:31.555,0.0,m3h9nVfJDO,com.sec.android.app.shealth,44a0f533-5672-4122-89ce-49e615e64c06,1587081600000,
,,e51576ef-0d47-4d47-8f42-7e4404adf532.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:14.761,2020-05-11 22:04:59.788,0.0,m3h9nVfJDO,com.sec.android.app.shealth,e51576ef-0d47-4d47-8f42-7e4404adf532,1588809600000,
,,f92402de-44ce-4243-a79a-ade470fefe03.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.760,2020-05-02 10:14:35.219,0.0,m3h9nVfJDO,com.sec.android.app.shealth,f92402de-44ce-4243-a79a-ade470fefe03,1587945600000,
,,116744aa-4490-4022-8b77-e7ae4ea3e525.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.574,2020-05-02 10:14:34.201,0.0,m3h9nVfJDO,com.sec.android.app.shealth,116744aa-4490-4022-8b77-e7ae4ea3e525,1587513600000,
,,32f99f4e-4a4f-42d1-899b-5e08f5023f90.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.842,2020-05-11 22:05:05.690,0.0,m3h9nVfJDO,com.sec.android.app.shealth,32f99f4e-4a4f-42d1-899b-5e08f5023f90,1588118400000,
,,42c02b24-ecba-4c5d-91d2-320c8bb402d5.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.798,2020-05-11 22:04:55.585,0.0,m3h9nVfJDO,com.sec.android.app.shealth,42c02b24-ecba-4c5d-91d2-320c8bb402d5,1588032000000,
,,c24099ce-3731-47f4-9b4b-d4fbbd368220.extra_data.json,,,,0.0,0,1754.2145,,2020-05-11 22:05:13.921,2020-05-11 22:04:58.829,0.0,m3h9nVfJDO,com.sec.android.app.shealth,c24099ce-3731-47f4-9b4b-d4fbbd368220,1588291200000,
